Last	First	HOF	From	To	Position1	Position	Position2	Ht	Wt	Month	Day	Year	Country	DaysBefore
Rosati	Mike	N	1999	1999	G	G	NA	70	170	January	7	1968	Canada	0
Hebert	Guy	N	1992	2001	G	G	NA	71	186	January	7	1967	USA	0
Hurme	Jani	N	2000	2003	G	G	NA	73	190	January	7	1975	Finland	0
Auld	Alex	N	2002	2009	G	G	NA	77	221	January	7	1981	Canada	0
Titanic	Morris	N	1975	1976	LW	F	NA	73	180	January	7	1953	Canada	0
Burridge	Randy	N	1986	1998	LW	F	NA	69	188	January	7	1966	Canada	0
Witehall	Johan	N	1999	2001	LW	F	NA	73	198	January	7	1972	Sweden	0
Lambert	Denny	N	1995	2002	LW	F	NA	71	211	January	7	1970	Canada	0
Kuleshov	Mikhail	N	2004	2004	LW	F	NA	74	205	January	7	1981	Russia	0
Brashear	Donald	N	1994	2009	LW	F	NA	75	239	January	7	1972	USA	0
Woit	Benny	N	1951	1957	RW	F	D	71	195	January	7	1928	Canada	0
Fairbairn	Bill	N	1969	1979	RW	F	NA	70	170	January	7	1947	Canada	0
Lewis	Trevor	N	2009	2009	C	F	NA	73	204	January	8	1987	USA	0
Viveiros	Emanuel	N	1986	1988	D	D	NA	73	175	January	8	1966	Canada	0
Butcher	Garth	N	1982	1995	D	D	NA	73	204	January	8	1963	Canada	0
Kultanen	Jarno	N	2001	2003	D	D	NA	74	198	January	8	1973	Finland	0
Klemm	Jon	N	1992	2008	D	D	NA	74	205	January	8	1970	Canada	0
Yachmenev	Vitali	N	1996	2003	LW	F	NA	71	200	January	8	1975	Russia	0
Langdon	Darren	N	1995	2006	LW	F	NA	73	205	January	8	1971	Canada	0
Cupolo	Bill	N	1945	1945	RW	F	NA	68	170	January	8	1924	Canada	0
Colville	Mac	N	1936	1947	RW	F	D	69	175	January	8	1916	Canada	0
Witiuk	Steve	N	1952	1952	RW	F	NA	67	165	January	8	1929	Canada	0
Hergesheimer	Wally	N	1952	1959	RW	F	NA	68	155	January	8	1927	Canada	0
Poliziani	Dan	N	1959	1959	RW	F	NA	71	158	January	8	1935	Canada	0
Ellis	Ron	N	1964	1981	RW	F	NA	69	195	January	8	1945	Canada	0
Stastny	Marian	N	1982	1986	RW	F	NA	70	195	January	8	1953	Slovakia	0
Norris	Dwayne	N	1994	1996	RW	F	NA	70	175	January	8	1970	Canada	0
Vasilevski	Alexander	N	1996	1997	RW	F	NA	71	190	January	8	1975	Ukraine	0
Vyazmikin	Igor	N	1991	1991	W	F	NA	73	194	January	8	1966	Russia	0
Burchell	Fred	N	1951	1954	C	F	NA	66	143	January	9	1931	Canada	0
McClanahan	Rob	N	1980	1984	C	F	NA	70	180	January	9	1958	USA	0
Boudreau	Bruce	N	1977	1986	C	F	NA	69	170	January	9	1955	Canada	0
McLlwain	Dave	N	1988	1997	C	F	RW	73	185	January	9	1967	Canada	0
Bonk	Radek	N	1995	2009	C	F	NA	75	213	January	9	1976	Czech Republic	0
Bostrom	Helge	N	1930	1933	D	D	NA	68	185	January	9	1894	Canada	0
Leroux	Gaston	N	1936	1936	D	D	NA	73	195	January	9	1913	Canada	0
Breitenbach	Ken	N	1976	1979	D	D	NA	73	190	January	9	1955	Canada	0
Patterson	Dennis	N	1975	1980	D	D	NA	68	175	January	9	1950	Canada	0
Lowdermilk	Dwayne	N	1981	1981	D	D	NA	73	201	January	9	1958	Canada	0
Lessard	Rick	N	1989	1992	D	D	NA	74	206	January	9	1968	Canada	0
Hocking	Justin	N	1994	1994	D	D	NA	76	215	January	9	1974	Canada	0
Wiemer	Jim	N	1984	1994	D	D	NA	76	216	January	9	1961	Canada	0
Thompson	Brent	N	1992	1997	D	D	NA	74	205	January	9	1971	Canada	0
Huscroft	Jamie	N	1989	2000	D	D	NA	75	210	January	9	1967	Canada	0
Eriksson	Anders	N	1996	2008	D	D	NA	75	224	January	9	1975	Sweden	0
McAuley	Ken	N	1944	1945	G	G	NA	70	190	January	9	1921	Canada	0
Garon	Mathieu	N	2001	2009	G	G	NA	74	207	January	9	1978	Canada	0
Pellerin	Scott	N	1993	2004	LW	F	NA	71	190	January	9	1970	Canada	0
Thornton	Scott	N	1991	2008	LW	F	NA	75	220	January	9	1971	Canada	0
Volmar	Doug	N	1971	1973	RW	F	NA	73	215	January	9	1945	USA	0
Ling	David	N	1997	2004	RW	F	NA	70	204	January	9	1975	Canada	0
